stringa cercata;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;96;8;4;4000;135300129032,26
unevenstring;96;8;5;4000;135300129032,26
unevenstring;96;8;6;4000;135300129032,26
unevenstring;96;8;7;4000;135300129032,26
unevenstring;96;8;8;4000;135300129032,26
unevenstring;96;8;9;4000;135300129032,26
unevenstring;96;8;10;4000;135300129032,26
unevenstring;96;8;11;4000;135300129032,26
unevenstring;96;8;12;4000;135300129032,26
unevenstring;96;8;13;4000;135300129032,26
unevenstring;96;8;14;4000;135300129032,26
unevenstring;96;8;15;4000;135300129032,26
unevenstring;96;8;16;4000;131072000000,00
unevenstring;96;8;17;4000;131072000000,00
unevenstring;96;8;18;4000;135300129032,26
unevenstring;96;8;19;4000;131072000000,00
unevenstring;96;8;20;4000;131072000000,00
unevenstring;96;8;21;4000;135300129032,26
unevenstring;96;8;22;4000;135300129032,26
unevenstring;96;8;23;4000;135300129032,26
unevenstring;96;8;24;4000;135300129032,26
unevenstring;96;8;25;4000;135300129032,26
unevenstring;96;8;26;4000;135300129032,26
unevenstring;96;8;27;4000;135300129032,26
unevenstring;96;8;28;4000;135300129032,26
unevenstring;96;8;29;4000;135300129032,26
unevenstring;96;8;30;4000;135300129032,26
unevenstring;96;9;1;4000;144631172413,79
unevenstring;96;9;2;4000;144631172413,79
unevenstring;96;9;3;4000;139810133333,33
unevenstring;96;9;4;4000;144631172413,79
unevenstring;96;9;5;4000;139810133333,33
unevenstring;96;9;6;4000;144631172413,79
unevenstring;96;9;7;4000;139810133333,33
unevenstring;96;9;8;4000;144631172413,79
unevenstring;96;9;9;4000;144631172413,79
unevenstring;96;9;10;4000;139810133333,33
unevenstring;96;9;11;4000;144631172413,79
unevenstring;96;9;12;4000;139810133333,33
unevenstring;96;9;13;4000;144631172413,79
unevenstring;96;9;14;4000;139810133333,33
unevenstring;96;9;15;4000;144631172413,79
unevenstring;96;9;16;4000;139810133333,33
unevenstring;96;9;17;4000;139810133333,33
unevenstring;96;9;18;4000;139810133333,33
unevenstring;96;9;19;4000;139810133333,33
unevenstring;96;9;20;4000;139810133333,33
unevenstring;96;9;21;4000;139810133333,33
unevenstring;96;9;22;4000;144631172413,79
unevenstring;96;9;23;4000;139810133333,33
unevenstring;96;9;24;4000;139810133333,33
unevenstring;96;9;25;4000;139810133333,33
unevenstring;96;9;26;4000;139810133333,33
unevenstring;96;9;27;4000;139810133333,33
unevenstring;96;9;28;4000;139810133333,33
unevenstring;96;9;29;4000;139810133333,33
unevenstring;96;9;30;4000;139810133333,33
unevenstring;96;10;1;4000;155344592592,59
unevenstring;96;10;2;4000;149796571428,57
unevenstring;96;10;3;4000;149796571428,57
unevenstring;96;10;4;4000;149796571428,57
unevenstring;96;10;5;4000;149796571428,57
unevenstring;96;10;6;4000;149796571428,57
unevenstring;96;10;7;4000;149796571428,57
unevenstring;96;10;8;4000;149796571428,57
unevenstring;96;10;9;4000;149796571428,57
unevenstring;96;10;10;4000;149796571428,57
unevenstring;96;10;11;4000;149796571428,57
unevenstring;96;10;12;4000;149796571428,57
unevenstring;96;10;13;4000;149796571428,57
unevenstring;96;10;14;4000;149796571428,57
unevenstring;96;10;15;4000;149796571428,57
unevenstring;96;10;16;4000;149796571428,57
unevenstring;96;10;17;4000;149796571428,57
unevenstring;96;10;18;4000;149796571428,57
unevenstring;96;10;19;4000;149796571428,57
unevenstring;96;10;20;4000;149796571428,57
unevenstring;96;10;21;4000;149796571428,57
unevenstring;96;10;22;4000;149796571428,57
unevenstring;96;10;23;4000;149796571428,57
unevenstring;96;10;24;4000;149796571428,57
unevenstring;96;10;25;4000;149796571428,57
unevenstring;96;10;26;4000;149796571428,57
unevenstring;96;10;27;4000;149796571428,57
unevenstring;96;10;28;4000;149796571428,57
unevenstring;96;10;29;4000;149796571428,57
unevenstring;96;10;30;4000;149796571428,57
unevenstring;96;11;1;4000;161319384615,38
unevenstring;96;11;2;4000;161319384615,38
unevenstring;96;11;3;4000;149796571428,57
unevenstring;96;11;4;4000;155344592592,59
unevenstring;96;11;5;4000;149796571428,57
unevenstring;96;11;6;4000;155344592592,59
unevenstring;96;11;7;4000;155344592592,59
unevenstring;96;11;8;4000;155344592592,59
unevenstring;96;11;9;4000;155344592592,59
unevenstring;96;11;10;4000;149796571428,57
unevenstring;96;11;11;4000;155344592592,59
unevenstring;96;11;12;4000;149796571428,57
unevenstring;96;11;13;4000;155344592592,59
unevenstring;96;11;14;4000;155344592592,59
unevenstring;96;11;15;4000;155344592592,59
unevenstring;96;11;16;4000;155344592592,59
unevenstring;96;11;17;4000;155344592592,59
unevenstring;96;11;18;4000;149796571428,57
unevenstring;96;11;19;4000;155344592592,59
unevenstring;96;11;20;4000;149796571428,57
unevenstring;96;11;21;4000;155344592592,59
unevenstring;96;11;22;4000;155344592592,59
unevenstring;96;11;23;4000;155344592592,59
unevenstring;96;11;24;4000;155344592592,59
unevenstring;96;11;25;4000;155344592592,59
unevenstring;96;11;26;4000;155344592592,59
unevenstring;96;11;27;4000;149796571428,57
unevenstring;96;11;28;4000;155344592592,59
unevenstring;96;11;29;4000;149796571428,57
unevenstring;96;11;30;4000;155344592592,59
unevenstring;96;12;1;4000;161319384615,38
unevenstring;96;12;2;4000;167772160000,00
unevenstring;96;12;3;4000;167772160000,00
unevenstring;96;12;4;4000;161319384615,38
unevenstring;96;12;5;4000;167772160000,00
unevenstring;96;12;6;4000;167772160000,00
unevenstring;96;12;7;4000;161319384615,38
unevenstring;96;12;8;4000;161319384615,38
unevenstring;96;12;9;4000;161319384615,38
unevenstring;96;12;10;4000;155344592592,59
unevenstring;96;12;11;4000;161319384615,38
unevenstring;96;12;12;4000;161319384615,38
unevenstring;96;12;13;4000;161319384615,38
unevenstring;96;12;14;4000;167772160000,00
unevenstring;96;12;15;4000;155344592592,59
unevenstring;96;12;16;4000;161319384615,38
unevenstring;96;12;17;4000;161319384615,38
unevenstring;96;12;18;4000;167772160000,00
unevenstring;96;12;19;4000;155344592592,59
unevenstring;96;12;20;4000;161319384615,38
unevenstring;96;12;21;4000;161319384615,38
unevenstring;96;12;22;4000;155344592592,59
unevenstring;96;12;23;4000;161319384615,38
unevenstring;96;12;24;4000;155344592592,59
unevenstring;96;12;25;4000;161319384615,38
unevenstring;96;12;26;4000;161319384615,38
unevenstring;96;12;27;4000;155344592592,59
unevenstring;96;12;28;4000;161319384615,38
unevenstring;96;12;29;4000;161319384615,38
unevenstring;96;12;30;4000;161319384615,38
unevenstring;96;13;1;4000;167772160000,00
unevenstring;96;13;2;4000;149796571428,57
unevenstring;96;13;3;4000;149796571428,57
unevenstring;96;13;4;4000;161319384615,38
unevenstring;96;13;5;4000;155344592592,59
unevenstring;96;13;6;4000;161319384615,38
unevenstring;96;13;7;4000;167772160000,00
unevenstring;96;13;8;4000;161319384615,38
unevenstring;96;13;9;4000;167772160000,00
unevenstring;96;13;10;4000;161319384615,38
unevenstring;96;13;11;4000;161319384615,38
unevenstring;96;13;12;4000;167772160000,00
unevenstring;96;13;13;4000;149796571428,57
unevenstring;96;13;14;4000;161319384615,38
unevenstring;96;13;15;4000;161319384615,38
unevenstring;96;13;16;4000;161319384615,38
unevenstring;96;13;17;4000;167772160000,00
unevenstring;96;13;18;4000;155344592592,59
unevenstring;96;13;19;4000;161319384615,38
unevenstring;96;13;20;4000;161319384615,38
unevenstring;96;13;21;4000;161319384615,38
unevenstring;96;13;22;4000;167772160000,00
unevenstring;96;13;23;4000;167772160000,00
unevenstring;96;13;24;4000;155344592592,59
unevenstring;96;13;25;4000;167772160000,00
unevenstring;96;13;26;4000;167772160000,00
unevenstring;96;13;27;4000;155344592592,59
unevenstring;96;13;28;4000;167772160000,00
unevenstring;96;13;29;4000;155344592592,59
unevenstring;96;13;30;4000;161319384615,38
unevenstring;96;14;1;4000;167772160000,00
unevenstring;96;14;2;4000;161319384615,38
unevenstring;96;14;3;4000;167772160000,00
unevenstring;96;14;4;4000;161319384615,38
unevenstring;96;14;5;4000;161319384615,38
unevenstring;96;14;6;4000;167772160000,00
unevenstring;96;14;7;4000;155344592592,59
unevenstring;96;14;8;4000;161319384615,38
unevenstring;96;14;9;4000;167772160000,00
unevenstring;96;14;10;4000;161319384615,38
unevenstring;96;14;11;4000;167772160000,00
unevenstring;96;14;12;4000;161319384615,38
unevenstring;96;14;13;4000;161319384615,38
unevenstring;96;14;14;4000;167772160000,00
unevenstring;96;14;15;4000;155344592592,59
unevenstring;96;14;16;4000;161319384615,38
unevenstring;96;14;17;4000;167772160000,00
unevenstring;96;14;18;4000;155344592592,59
unevenstring;96;14;19;4000;167772160000,00
unevenstring;96;14;20;4000;161319384615,38
unevenstring;96;14;21;4000;161319384615,38
unevenstring;96;14;22;4000;167772160000,00
unevenstring;96;14;23;4000;155344592592,59
unevenstring;96;14;24;4000;161319384615,38
unevenstring;96;14;25;4000;167772160000,00
unevenstring;96;14;26;4000;155344592592,59
unevenstring;96;14;27;4000;167772160000,00
unevenstring;96;14;28;4000;167772160000,00
unevenstring;96;14;29;4000;161319384615,38
unevenstring;96;14;30;4000;167772160000,00
unevenstring;96;15;1;4000;161319384615,38
unevenstring;96;15;2;4000;149796571428,57
unevenstring;96;15;3;4000;161319384615,38
unevenstring;96;15;4;4000;161319384615,38
unevenstring;96;15;5;4000;161319384615,38
unevenstring;96;15;6;4000;167772160000,00
unevenstring;96;15;7;4000;149796571428,57
unevenstring;96;15;8;4000;161319384615,38
unevenstring;96;15;9;4000;161319384615,38
unevenstring;96;15;10;4000;155344592592,59
unevenstring;96;15;11;4000;167772160000,00
unevenstring;96;15;12;4000;149796571428,57
unevenstring;96;15;13;4000;161319384615,38
unevenstring;96;15;14;4000;161319384615,38
unevenstring;96;15;15;4000;161319384615,38
unevenstring;96;15;16;4000;167772160000,00
unevenstring;96;15;17;4000;149796571428,57
unevenstring;96;15;18;4000;161319384615,38
unevenstring;96;15;19;4000;161319384615,38
unevenstring;96;15;20;4000;155344592592,59
unevenstring;96;15;21;4000;167772160000,00
unevenstring;96;15;22;4000;155344592592,59
unevenstring;96;15;23;4000;161319384615,38
unevenstring;96;15;24;4000;167772160000,00
unevenstring;96;15;25;4000;149796571428,57
unevenstring;96;15;26;4000;155344592592,59
unevenstring;96;15;27;4000;155344592592,59
unevenstring;96;15;28;4000;161319384615,38
unevenstring;96;15;29;4000;167772160000,00
unevenstring;96;15;30;4000;149796571428,57
unevenstring;96;16;1;4000;174762666666,67
unevenstring;96;16;2;4000;161319384615,38
unevenstring;96;16;3;4000;167772160000,00
unevenstring;96;16;4;4000;174762666666,67
unevenstring;96;16;5;4000;155344592592,59
unevenstring;96;16;6;4000;167772160000,00
unevenstring;96;16;7;4000;174762666666,67
unevenstring;96;16;8;4000;161319384615,38
unevenstring;96;16;9;4000;167772160000,00
unevenstring;96;16;10;4000;167772160000,00
unevenstring;96;16;11;4000;155344592592,59
unevenstring;96;16;12;4000;167772160000,00
unevenstring;96;16;13;4000;161319384615,38
unevenstring;96;16;14;4000;167772160000,00
unevenstring;96;16;15;4000;167772160000,00
unevenstring;96;16;16;4000;161319384615,38
unevenstring;96;16;17;4000;167772160000,00
unevenstring;96;16;18;4000;167772160000,00
unevenstring;96;16;19;4000;149796571428,57
unevenstring;96;16;20;4000;161319384615,38
unevenstring;96;16;21;4000;161319384615,38
unevenstring;96;16;22;4000;161319384615,38
unevenstring;96;16;23;4000;167772160000,00
unevenstring;96;16;24;4000;155344592592,59
unevenstring;96;16;25;4000;161319384615,38
unevenstring;96;16;26;4000;167772160000,00
unevenstring;96;16;27;4000;149796571428,57
unevenstring;96;16;28;4000;167772160000,00
unevenstring;96;16;29;4000;161319384615,38
unevenstring;96;16;30;4000;161319384615,38
