thread;rep;throughput;target_string;file_size 
2;1;4.37362e+08;------------;2000 
2;2;4.40208e+08;------------;2000 
2;3;4.40393e+08;------------;2000 
2;4;4.40486e+08;------------;2000 
2;5;4.40856e+08;------------;2000 
2;6;4.40023e+08;------------;2000 
2;7;4.40949e+08;------------;2000 
2;8;4.38185e+08;------------;2000 
2;9;4.40578e+08;------------;2000 
2;10;4.41134e+08;------------;2000 
3;1;6.62607e+08;------------;2000 
3;2;6.62607e+08;------------;2000 
3;3;6.63026e+08;------------;2000 
3;4;6.63026e+08;------------;2000 
3;5;6.61771e+08;------------;2000 
3;6;6.62189e+08;------------;2000 
3;7;6.61354e+08;------------;2000 
3;8;6.57414e+08;------------;2000 
3;9;6.63026e+08;------------;2000 
3;10;6.60728e+08;------------;2000 
4;1;8.26953e+08;------------;2000 
4;2;8.33195e+08;------------;2000 
4;3;8.31214e+08;------------;2000 
4;4;8.34521e+08;------------;2000 
4;5;8.40542e+08;------------;2000 
4;6;8.23705e+08;------------;2000 
4;7;8.27932e+08;------------;2000 
4;8;8.24676e+08;------------;2000 
4;9;8.01051e+08;------------;2000 
4;10;8.1888e+08;------------;2000 
5;1;9.51953e+08;------------;2000 
5;2;9.34976e+08;------------;2000 
5;3;9.4254e+08;------------;2000 
5;4;9.40849e+08;------------;2000 
5;5;9.58041e+08;------------;2000 
5;6;9.32482e+08;------------;2000 
5;7;9.39163e+08;------------;2000 
5;8;9.48508e+08;------------;2000 
5;9;9.51521e+08;------------;2000 
5;10;9.60674e+08;------------;2000 
6;1;1.0565e+09;------------;2000 
6;2;1.05757e+09;------------;2000 
6;3;1.02751e+09;------------;2000 
6;4;1.06077e+09;------------;2000 
6;5;1.04596e+09;------------;2000 
6;6;1.07107e+09;------------;2000 
6;7;1.06998e+09;------------;2000 
6;8;1.07271e+09;------------;2000 
6;9;1.07436e+09;------------;2000 
6;10;1.07823e+09;------------;2000 
7;1;1.08661e+09;------------;2000 
7;2;1.05068e+09;------------;2000 
7;3;1.05015e+09;------------;2000 
7;4;1.03257e+09;------------;2000 
7;5;1.06671e+09;------------;2000 
7;6;1.03717e+09;------------;2000 
7;7;1.0883e+09;------------;2000 
7;8;1.01019e+09;------------;2000 
7;9;1.08548e+09;------------;2000 
7;10;1.0597e+09;------------;2000 
8;1;1.0838e+09;------------;2000 
8;2;1.06293e+09;------------;2000 
8;3;1.03257e+09;------------;2000 
8;4;1.06077e+09;------------;2000 
8;5;1.07934e+09;------------;2000 
8;6;1.07712e+09;------------;2000 
8;7;1.07601e+09;------------;2000 
8;8;1.07216e+09;------------;2000 
8;9;1.04858e+09;------------;2000 
8;10;1.07546e+09;------------;2000 
9;1;1.03922e+09;------------;2000 
9;2;1.09799e+09;------------;2000 
9;3;1.06024e+09;------------;2000 
9;4;1.06293e+09;------------;2000 
9;5;1.06077e+09;------------;2000 
9;6;1.08436e+09;------------;2000 
9;7;1.06077e+09;------------;2000 
9;8;1.05385e+09;------------;2000 
9;9;1.03105e+09;------------;2000 
9;10;1.08492e+09;------------;2000 
10;1;1.01803e+09;------------;2000 
10;2;1.09227e+09;------------;2000 
10;3;1.06508e+09;------------;2000 
10;4;1.0565e+09;------------;2000 
10;5;1.07216e+09;------------;2000 
10;6;1.06998e+09;------------;2000 
10;7;1.05917e+09;------------;2000 
10;8;1.03206e+09;------------;2000 
10;9;1.06888e+09;------------;2000 
10;10;1.03974e+09;------------;2000 
11;1;1.05544e+09;------------;2000 
11;2;1.01853e+09;------------;2000 
11;3;9.91561e+08;------------;2000 
11;4;1.02802e+09;------------;2000 
11;5;1.05757e+09;------------;2000 
11;6;1.00679e+09;------------;2000 
11;7;1.03156e+09;------------;2000 
11;8;1.03665e+09;------------;2000 
11;9;1.01263e+09;------------;2000 
11;10;1.05385e+09;------------;2000 
12;1;1.00198e+09;------------;2000 
12;2;1.01459e+09;------------;2000 
12;3;9.72254e+08;------------;2000 
12;4;1.02902e+09;------------;2000 
12;5;9.70904e+08;------------;2000 
12;6;1.026e+09;------------;2000 
12;7;1.01068e+09;------------;2000 
12;8;1.00007e+09;------------;2000 
12;9;9.95326e+08;------------;2000 
12;10;9.75873e+08;------------;2000 
13;1;9.64208e+08;------------;2000 
13;2;9.39163e+08;------------;2000 
13;3;9.77238e+08;------------;2000 
13;4;7.4925e+08;------------;2000 
13;5;9.07465e+08;------------;2000 
13;6;9.50658e+08;------------;2000 
