thread;rep;throughput;target_string;file_size 
3;6;3.53651e+09;------------;8000 
3;7;3.51576e+09;------------;8000 
3;8;3.59255e+09;------------;8000 
3;9;3.51135e+09;------------;8000 
3;10;3.54099e+09;------------;8000 
4;1;4.3218e+09;------------;8000 
4;2;4.57893e+09;------------;8000 
4;3;4.35094e+09;------------;8000 
4;4;4.32625e+09;------------;8000 
4;5;4.1985e+09;------------;8000 
4;6;4.33296e+09;------------;8000 
4;7;4.31735e+09;------------;8000 
4;8;4.43373e+09;------------;8000 
4;9;4.58895e+09;------------;8000 
4;10;4.44547e+09;------------;8000 
5;1;5.18776e+09;------------;8000 
5;2;5.09017e+09;------------;8000 
5;3;5.09946e+09;------------;8000 
5;4;5.0473e+09;------------;8000 
5;5;5.01711e+09;------------;8000 
5;6;5.17496e+09;------------;8000 
5;7;5.20062e+09;------------;8000 
5;8;5.12125e+09;------------;8000 
5;9;5.115e+09;------------;8000 
5;10;5.115e+09;------------;8000 
6;1;5.80929e+09;------------;8000 
6;2;5.80125e+09;------------;8000 
6;3;5.66033e+09;------------;8000 
6;4;5.67949e+09;------------;8000 
6;5;5.71821e+09;------------;8000 
6;6;5.82542e+09;------------;8000 
6;7;5.80527e+09;------------;8000 
6;8;5.55169e+09;------------;8000 
6;9;5.59614e+09;------------;8000 
6;10;5.70654e+09;------------;8000 
7;1;6.141e+09;------------;8000 
7;2;5.94094e+09;------------;8000 
7;3;6.15904e+09;------------;8000 
7;4;6.17263e+09;------------;8000 
7;5;6.04367e+09;------------;8000 
7;6;6.09637e+09;------------;8000 
7;7;6.10525e+09;------------;8000 
7;8;5.97054e+09;------------;8000 
7;9;5.94094e+09;------------;8000 
7;10;6.11861e+09;------------;8000 
8;1;6.42805e+09;------------;8000 
8;2;6.39376e+09;------------;8000 
8;3;6.3406e+09;------------;8000 
8;4;6.0263e+09;------------;8000 
8;5;6.10081e+09;------------;8000 
8;6;6.32148e+09;------------;8000 
8;7;6.20918e+09;------------;8000 
8;8;6.54848e+09;------------;8000 
8;9;6.45774e+09;------------;8000 
8;10;6.3502e+09;------------;8000 
9;1;6.52302e+09;------------;8000 
9;2;6.73784e+09;------------;8000 
9;3;6.70552e+09;------------;8000 
9;4;6.71089e+09;------------;8000 
9;5;6.71089e+09;------------;8000 
9;6;6.71089e+09;------------;8000 
9;7;6.50784e+09;------------;8000 
9;8;6.7979e+09;------------;8000 
9;9;6.19085e+09;------------;8000 
9;10;6.58964e+09;------------;8000 
10;1;6.63656e+09;------------;8000 
10;2;6.1455e+09;------------;8000 
10;3;6.67883e+09;------------;8000 
10;4;6.59482e+09;------------;8000 
10;5;6.82556e+09;------------;8000 
10;6;6.54338e+09;------------;8000 
10;7;5.87438e+09;------------;8000 
10;8;6.54338e+09;------------;8000 
10;9;6.65235e+09;------------;8000 
10;10;6.76501e+09;------------;8000 
11;1;6.72703e+09;------------;8000 
11;2;6.78141e+09;------------;8000 
11;3;6.73243e+09;------------;8000 
11;4;6.60001e+09;------------;8000 
11;5;6.74868e+09;------------;8000 
11;6;6.71089e+09;------------;8000 
11;7;6.8872e+09;------------;8000 
11;8;6.62084e+09;------------;8000 
11;9;6.59482e+09;------------;8000 
11;10;6.38889e+09;------------;8000 
12;1;6.43298e+09;------------;8000 
12;2;6.69482e+09;------------;8000 
12;3;6.91559e+09;------------;8000 
12;4;6.7924e+09;------------;8000 
12;5;6.54338e+09;------------;8000 
12;6;6.73243e+09;------------;8000 
12;7;6.71089e+09;------------;8000 
12;8;6.73784e+09;------------;8000 
12;9;6.81447e+09;------------;8000 
12;10;6.58446e+09;------------;8000 
13;1;6.62084e+09;------------;8000 
13;2;6.84784e+09;------------;8000 
13;3;6.81447e+09;------------;8000 
13;4;6.80894e+09;------------;8000 
13;5;6.52302e+09;------------;8000 
13;6;6.65235e+09;------------;8000 
13;7;5.87849e+09;------------;8000 
13;8;6.74325e+09;------------;8000 
13;9;6.81447e+09;------------;8000 
13;10;6.7979e+09;------------;8000 
14;1;6.62607e+09;------------;8000 
