thread;rep;throughput;target_string;file_size 
13;5;6.38079e+09;------------;6000 
13;6;6.51964e+09;------------;6000 
13;7;6.11415e+09;------------;6000 
13;8;6.19238e+09;------------;6000 
13;9;6.34859e+09;------------;6000 
13;10;6.46604e+09;------------;6000 
14;1;6.4594e+09;------------;6000 
14;2;6.51964e+09;------------;6000 
14;3;6.47269e+09;------------;6000 
14;4;6.21072e+09;------------;6000 
14;5;6.39376e+09;------------;6000 
14;6;6.25393e+09;------------;6000 
14;7;6.42641e+09;------------;6000 
14;8;6.38726e+09;------------;6000 
14;9;5.95218e+09;------------;6000 
14;10;6.22916e+09;------------;6000 
15;1;6.10229e+09;------------;6000 
15;2;6.44616e+09;------------;6000 
15;3;6.50616e+09;------------;6000 
15;4;6.45278e+09;------------;6000 
15;5;6.43298e+09;------------;6000 
15;6;6.36143e+09;------------;6000 
15;7;6.57414e+09;------------;6000 
15;8;6.21685e+09;------------;6000 
15;9;6.54678e+09;------------;6000 
15;10;6.57414e+09;------------;6000 
16;1;6.53318e+09;------------;6000 
16;2;6.39376e+09;------------;6000 
16;3;6.49273e+09;------------;6000 
16;4;6.29775e+09;------------;6000 
16;5;6.19848e+09;------------;6000 
16;6;6.22916e+09;------------;6000 
16;7;6.53998e+09;------------;6000 
16;8;6.21072e+09;------------;6000 
16;9;6.16205e+09;------------;6000 
16;10;6.53318e+09;------------;6000 
1;1;1.22319e+09;------------;8000 
1;2;1.23163e+09;------------;8000 
1;3;1.22212e+09;------------;8000 
1;4;1.21223e+09;------------;8000 
1;5;1.20388e+09;------------;8000 
1;6;1.21857e+09;------------;8000 
1;7;1.22354e+09;------------;8000 
1;8;1.20891e+09;------------;8000 
1;9;1.2037e+09;------------;8000 
1;10;1.22372e+09;------------;8000 
2;1;2.3445e+09;------------;8000 
2;2;2.35371e+09;------------;8000 
2;3;2.35569e+09;------------;8000 
2;4;2.35239e+09;------------;8000 
2;5;2.34319e+09;------------;8000 
2;6;2.35966e+09;------------;8000 
2;7;2.35834e+09;------------;8000 
2;8;2.38042e+09;------------;8000 
2;9;2.32114e+09;------------;8000 
2;10;2.33992e+09;------------;8000 
3;1;3.58029e+09;------------;8000 
3;2;3.59409e+09;------------;8000 
3;3;3.56507e+09;------------;8000 
3;4;3.51724e+09;------------;8000 
