thread;rep;throughput;target_string;file_size 
16;10;1.91813e+10;------------;6000 
1;1;3.53502e+09;------------;8000 
1;2;3.37706e+09;------------;8000 
1;3;3.51576e+09;------------;8000 
1;4;3.37706e+09;------------;8000 
1;5;3.38934e+09;------------;8000 
1;6;3.44785e+09;------------;8000 
1;7;3.38387e+09;------------;8000 
1;8;3.39345e+09;------------;8000 
1;9;3.38114e+09;------------;8000 
1;10;3.35142e+09;------------;8000 
2;1;7.03742e+09;------------;8000 
2;2;7.21911e+09;------------;8000 
2;3;6.18629e+09;------------;8000 
2;4;7.30079e+09;------------;8000 
2;5;6.7869e+09;------------;8000 
2;6;7.2378e+09;------------;8000 
2;7;7.19435e+09;------------;8000 
2;8;7.07303e+09;------------;8000 
2;9;6.98469e+09;------------;8000 
2;10;6.20001e+09;------------;8000 
3;1;1.04858e+10;------------;8000 
3;2;9.69781e+09;------------;8000 
3;3;9.48938e+09;------------;8000 
3;4;1.05783e+10;------------;8000 
3;5;9.81124e+09;------------;8000 
3;6;1.03563e+10;------------;8000 
3;7;1.05517e+10;------------;8000 
3;8;9.86895e+09;------------;8000 
3;9;9.19804e+09;------------;8000 
3;10;9.72029e+09;------------;8000 
4;1;1.32521e+10;------------;8000 
4;2;1.29254e+10;------------;8000 
4;3;1.22283e+10;------------;8000 
4;4;1.35738e+10;------------;8000 
4;5;1.29056e+10;------------;8000 
4;6;1.36179e+10;------------;8000 
4;7;1.2446e+10;------------;8000 
4;8;1.17488e+10;------------;8000 
4;9;1.35958e+10;------------;8000 
4;10;1.32521e+10;------------;8000 
5;1;1.5709e+10;------------;8000 
5;2;1.56504e+10;------------;8000 
5;3;1.32731e+10;------------;8000 
5;4;1.56212e+10;------------;8000 
5;5;1.5252e+10;------------;8000 
5;6;1.6163e+10;------------;8000 
5;7;1.43395e+10;------------;8000 
5;8;1.56796e+10;------------;8000 
5;9;1.51968e+10;------------;8000 
5;10;1.59177e+10;------------;8000 
6;1;1.70154e+10;------------;8000 
6;2;1.79628e+10;------------;8000 
6;3;1.59479e+10;------------;8000 
6;4;1.62886e+10;------------;8000 
6;5;1.60701e+10;------------;8000 
6;6;1.79244e+10;------------;8000 
6;7;1.80013e+10;------------;8000 
6;8;1.72251e+10;------------;8000 
6;9;1.81179e+10;------------;8000 
6;10;1.76231e+10;------------;8000 
7;1;1.67437e+10;------------;8000 
7;2;1.705e+10;------------;8000 
7;3;1.83961e+10;------------;8000 
7;4;1.78481e+10;------------;8000 
7;5;1.81965e+10;------------;8000 
7;6;1.88933e+10;------------;8000 
7;7;1.73318e+10;------------;8000 
7;8;1.86829e+10;------------;8000 
7;9;1.74038e+10;------------;8000 
7;10;1.86e+10;------------;8000 
8;1;1.94631e+10;------------;8000 
8;2;1.87246e+10;------------;8000 
8;3;1.78862e+10;------------;8000 
8;4;1.75128e+10;------------;8000 
8;5;1.89359e+10;------------;8000 
8;6;1.72251e+10;------------;8000 
8;7;1.85589e+10;------------;8000 
8;8;1.89788e+10;------------;8000 
8;9;1.68785e+10;------------;8000 
8;10;1.76602e+10;------------;8000 
